api_number,well_name,latitude,longitude,orig_operator,current_operator,elevation,elev_ref,total_depth,formation_at_td,producing_form,permit_issued,spud_date,comp_date,status
15-093-21995,CARRIE 15-3,38.0580855,-101.1454837,"Merit Energy Company, LLC","Merit Energy Company, LLC",3032, KB,5050,ST LOUIS,ST LOUIS,8-Dec-21,19-Jan-22,5-Feb-22,OIL
15-031-24542,INGWERSON 14I,38.1158734,-95.6859365,"RJ Energy, LLC","RJ Energy, LLC",1004, KB,1090,,,21-Dec-21,5-Jan-22,11-Jan-22,EOR
15-031-24543,INGWERSON 3IR,38.1203719,-95.6852027,"RJ Energy, LLC","RJ Energy, LLC",1004, KB,1078,,,22-Dec-21,19-Jan-22,25-Jan-22,EOR
15-031-24546,INGWERSON 12I,38.1189563,-95.6853168,"RJ Energy, LLC","RJ Energy, LLC",1004, KB,1096,,,22-Dec-21,25-Jan-22,27-Jan-22,EOR
15-101-22665,SPEEDWAY 1,38.6920312,-100.2995908,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2631, KB,4614,MISSISSIPPIAN,,27-Dec-21,7-Jan-22,20-Jan-22,D&A
15-083-21997,KATZ 1,37.9175287,-99.6878701,"White Exploration, Inc.","White Exploration, Inc.",2376, KB,4850,,,27-Dec-21,7-Jan-22,15-Jan-22,D&A
15-039-21277,SLAB CITY 44581,39.6931762,-100.2728449,"Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.",2475, KB,3700,MARMATON,LANSING,6-Jan-22,11-Jan-22,24-Mar-22,OIL
15-107-25391,OAKWOOD UNIT/WEBER 8I,38.1471909,-95.0459897,"RJ Energy, LLC","RJ Energy, LLC",974, KB,811,BURGESS,BURGESS,6-Jan-22,13-Jan-22,14-Jan-22,EOR
15-151-22540,AMBER #1,37.4930002,-98.9586377,"Griffin, Charles N.","Griffin, Charles N.",2003, KB,4820,SIMPSON,,6-Jan-22,28-Jan-22,10-Feb-22,OIL
15-023-21564,KELLER 'B' 13150,39.8329829,-101.6369578,"Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.",3409, KB,5200,MISSISSIPPIAN,LANSING,6-Jan-22,15-Jan-22,13-Apr-22,OIL
15-107-25393,OAKWOOD UNIT/WRIGHT 3A,38.1561553,-95.0430838,"RJ Energy, LLC","RJ Energy, LLC",984, KB,811,BURGESS,BURGESS,28-Jan-22,31-Jan-22,1-Feb-22,D&A
15-107-25394,OAKWOOD UNIT/WRIGHT 4A,38.1553219,-95.0419509,"RJ Energy, LLC","RJ Energy, LLC",979, KB,841,BURGESS,BURGESS,28-Jan-22,30-Jan-22,31-Jan-22,D&A
15-035-24749,MBF 1,37.4665669,-96.9021173,"Raney Oil Company, LLC","Raney Oil Company, LLC",1319, KB,3119,,,28-Oct-21,4-Jan-22,12-Jan-22,D&A
15-101-22666,RAMSEY 10990,38.5529622,-100.6766858,Citadel Oil LLC,Citadel Oil LLC,2904, KB,4560,MISSISSIPPIAN,"LANSING-KANSAS CITY, Pleasanton",27-Dec-21,23-Jan-22,15-Feb-22,OIL
15-107-25392,OAKWOOD UNIT/WEBER 9I,38.1518815,-95.0475578,"RJ Energy, LLC","RJ Energy, LLC",992, KB,841,BURGESS,BURGESS,6-Jan-22,17-Jan-22,18-Jan-22,EOR
15-167-24115,BENDER B 21-1,38.7314744,-98.8826688,"Russell Oil, Inc.","Russell Oil, Inc.",1809, KB,3360,ARBUCKLE,"ARBUCKLE, LANSING KANSAS CITY",17-Dec-21,21-Jan-22,31-Jan-22,D&A
